dataset,method,classifier,seed,n_selected,n_total,reduction_ratio,accuracy,precision,recall,f1_score,f1_macro,roc_auc,fit_time,clf_time
nsl_kdd,NoSelection,LogisticRegression,42,121,121,0.0,0.7548793470546487,0.8027811869367356,0.7548793470546487,0.7530102957704772,0.7544432962884495,0.7912180283391927,6.604194641113281e-05,7.01378607749939
nsl_kdd,NoSelection,LinearSVM,42,121,121,0.0,0.7530606813342796,0.8014116460512165,0.7530606813342796,0.7511112084119326,0.7525960228699876,,6.604194641113281e-05,3.987912178039551
nsl_kdd,NoSelection,DecisionTree,42,121,121,0.0,0.7746628814762243,0.8309610069620728,0.7746628814762243,0.7722973755676863,0.7739966644416982,0.7386489575217996,6.604194641113281e-05,1.4446942806243896
nsl_kdd,NoSelection,RandomForest,42,121,121,0.0,0.7650816181689141,0.8318896743594035,0.7650816181689141,0.7614104953720944,0.7638102536157441,0.9573860160605178,6.604194641113281e-05,16.477478742599487
nsl_kdd,NoSelection,ExtraTrees,42,121,121,0.0,0.7874822569198012,0.8425059072178196,0.7874822569198012,0.7854793956059668,0.786951713247076,0.9526928041164212,6.604194641113281e-05,25.138427019119263
nsl_kdd,NoSelection,GradientBoosting,42,121,121,0.0,0.8071770759403832,0.8538065826632008,0.8071770759403832,0.8061316975881068,0.8069818333567462,0.944467241517204,6.604194641113281e-05,44.4187536239624
nsl_kdd,NoSelection,HistGradientBoosting,42,121,121,0.0,0.8006121362668559,0.8494181001793437,0.8006121362668559,0.7993254105298716,0.8003421550884302,0.9609757204916148,6.604194641113281e-05,11.851239681243896
nsl_kdd,NoSelection,XGBoost,42,121,121,0.0,0.7919623846699787,0.8446884176203463,0.7919623846699787,0.7902337051037197,0.7915373132210773,0.9688828823697606,6.604194641113281e-05,2.889956474304199
nsl_kdd,NoSelection,LightGBM,42,121,121,0.0,0.787304826117814,0.8425679790355741,0.787304826117814,0.7852776223358725,0.7867643336835872,0.9581679612731898,6.604194641113281e-05,7.576220273971558
nsl_kdd,NoSelection,CatBoost,42,121,121,0.0,0.8015436479772888,0.8496304797961536,0.8015436479772888,0.8003243149782533,0.80129592233481,0.9598202876502704,6.604194641113281e-05,5.063401699066162
nsl_kdd,NoSelection,KNN,42,121,121,0.0,0.7802519517388219,0.8389004122818131,0.7802519517388219,0.7777780258522099,0.7795278211893197,0.8274175651710414,6.604194641113281e-05,63.41200828552246
nsl_kdd,NoSelection,MLP,42,121,121,0.0,0.7897001419446416,0.8335523977176829,0.7897001419446416,0.7886866079233341,0.7895257098099748,0.895315492830465,6.604194641113281e-05,117.18775010108948
nsl_kdd,MutualInfo,LogisticRegression,42,20,121,0.8347107438016529,0.7150461320085166,0.7787562838824719,0.7150461320085166,0.7100774802565746,0.7132342020249025,0.887058434803377,85.91437005996704,2.5590994358062744
nsl_kdd,MutualInfo,LinearSVM,42,20,121,0.8347107438016529,0.7149130589070263,0.7789916734050116,0.7149130589070263,0.709884638658992,0.7130696108672214,,85.91437005996704,0.5830776691436768
nsl_kdd,MutualInfo,DecisionTree,42,20,121,0.8347107438016529,0.7645493257629524,0.8287599636369952,0.7645493257629524,0.761137614220734,0.7634106324526602,0.8028988841173919,85.91437005996704,0.4569160938262939
nsl_kdd,MutualInfo,RandomForest,42,20,121,0.8347107438016529,0.7697835344215755,0.8350415815214749,0.7697835344215755,0.7664074574134007,0.7686500345239373,0.936542189433596,85.91437005996704,5.718275308609009
nsl_kdd,MutualInfo,ExtraTrees,42,20,121,0.8347107438016529,0.7645493257629524,0.8287599636369952,0.7645493257629524,0.761137614220734,0.7634106324526602,0.9169437762799756,85.91437005996704,4.911536693572998
nsl_kdd,MutualInfo,GradientBoosting,42,20,121,0.8347107438016529,0.7842885024840313,0.8412231558362008,0.7842885024840313,0.7820549345922876,0.783664258145951,0.9392640644317656,85.91437005996704,18.50369167327881
nsl_kdd,MutualInfo,HistGradientBoosting,42,20,121,0.8347107438016529,0.7837562100780695,0.8406373056660507,0.7837562100780695,0.7815171306060872,0.7831304253468048,0.961126589609351,85.91437005996704,2.868878126144409
nsl_kdd,MutualInfo,XGBoost,42,20,121,0.8347107438016529,0.7705819730305181,0.8344829104154367,0.7705819730305181,0.7673654940662306,0.7695259603585081,0.9616128509305832,85.91437005996704,0.5640223026275635
nsl_kdd,MutualInfo,LightGBM,42,20,121,0.8347107438016529,0.7771469127040455,0.8379749829018636,0.7771469127040455,0.7743968127348511,0.7763013850737651,0.957532475818352,85.91437005996704,1.7375919818878174
nsl_kdd,MutualInfo,CatBoost,42,20,121,0.8347107438016529,0.7768807665010646,0.8378957033433517,0.7768807665010646,0.7741064533411565,0.7760243908268147,0.9588862817094064,85.91437005996704,0.9525492191314696
nsl_kdd,MutualInfo,KNN,42,20,121,0.8347107438016529,0.7338094393186657,0.7960602544827232,0.7338094393186657,0.7297074827390823,0.7323984490012087,0.7779089311588826,85.91437005996704,35.28802752494812
nsl_kdd,MutualInfo,MLP,42,20,121,0.8347107438016529,0.7517743080198722,0.8002606432493253,0.7517743080198722,0.7497872137001885,0.7512966318184495,0.8901020767218513,85.91437005996704,156.8048493862152
nsl_kdd,ChiSquare,LogisticRegression,42,20,121,0.8347107438016529,0.7663236337828248,0.8034853115597309,0.7663236337828248,0.7656828996159649,0.76625151020975,0.913357714886905,0.7383925914764404,2.5922319889068604
nsl_kdd,ChiSquare,LinearSVM,42,20,121,0.8347107438016529,0.7840667139815471,0.8107779017708932,0.7840667139815471,0.7843516120245579,0.7840438432735961,,0.7383925914764404,0.4770762920379638
nsl_kdd,ChiSquare,DecisionTree,42,20,121,0.8347107438016529,0.8078424414478353,0.850906504862573,0.8078424414478353,0.8070623681859599,0.8077237991266375,0.8478862792459422,0.7383925914764404,0.2503335475921631
nsl_kdd,ChiSquare,RandomForest,42,20,121,0.8347107438016529,0.774485450674237,0.8342117390863402,0.774485450674237,0.7717813025341153,0.7736665974187646,0.9452385986490924,0.7383925914764404,4.55352520942688
nsl_kdd,ChiSquare,ExtraTrees,42,20,121,0.8347107438016529,0.794180269694819,0.8439942810894704,0.794180269694819,0.7927279985128312,0.7938575427654884,0.9380916481323096,0.7383925914764404,5.098033428192139
nsl_kdd,ChiSquare,GradientBoosting,42,20,121,0.8347107438016529,0.7810503903477644,0.8371686794445916,0.7810503903477644,0.7788288486085986,0.7804365568398632,0.953498782146029,0.7383925914764404,12.07150411605835
nsl_kdd,ChiSquare,HistGradientBoosting,42,20,121,0.8347107438016529,0.7733321504613201,0.8328251603988387,0.7733321504613201,0.7706246693164103,0.7725139755601313,0.961381995462524,0.7383925914764404,3.509263277053833
nsl_kdd,ChiSquare,XGBoost,42,20,121,0.8347107438016529,0.7844215755855216,0.838319340464956,0.7844215755855216,0.7824650717954439,0.7839145746033753,0.9460068182746632,0.7383925914764404,0.7484030723571777
nsl_kdd,ChiSquare,LightGBM,42,20,121,0.8347107438016529,0.769916607523066,0.8312456023237447,0.769916607523066,0.7669441375630892,0.7689805762760686,0.960482482030374,0.7383925914764404,2.3041563034057617
nsl_kdd,ChiSquare,CatBoost,42,20,121,0.8347107438016529,0.7674325762952449,0.8292283974086218,0.7674325762952449,0.7643500737252404,0.7664489991393197,0.9547729948780892,0.7383925914764404,0.9790818691253662
nsl_kdd,ChiSquare,KNN,42,20,121,0.8347107438016529,0.8084634492547906,0.849793020461088,0.8084634492547906,0.8078115633621141,0.8083765793967993,0.854783011627799,0.7383925914764404,34.68645763397217
nsl_kdd,ChiSquare,MLP,42,20,121,0.8347107438016529,0.8058907026259758,0.8322886130953333,0.8058907026259758,0.8062044264528886,0.8058585769516098,0.8844186284647106,0.7383925914764404,333.6350381374359
nsl_kdd,L1Logistic,LogisticRegression,42,61,121,0.4958677685950413,0.7548349893541518,0.8027554249829659,0.7548349893541518,0.7529631654819647,0.7543979393903782,0.79526187276725,16.524017095565796,5.332691431045532
nsl_kdd,L1Logistic,LinearSVM,42,61,121,0.4958677685950413,0.7515081618168914,0.8002408442960085,0.7515081618168914,0.7494888028524929,0.7510182639604144,,16.524017095565796,3.1275618076324463
nsl_kdd,L1Logistic,DecisionTree,42,61,121,0.4958677685950413,0.7708037615330021,0.8280129126913014,0.7708037615330021,0.7682674444870273,0.7700683045774375,0.7205953088438849,16.524017095565796,1.055696964263916
nsl_kdd,L1Logistic,RandomForest,42,61,121,0.4958677685950413,0.7760379701916252,0.8369849285597208,0.7760379701916252,0.7732505473718365,0.7751771212136298,0.9598289699567562,16.524017095565796,8.787191152572632
nsl_kdd,L1Logistic,ExtraTrees,42,61,121,0.4958677685950413,0.7829134137686302,0.8391651849577565,0.7829134137686302,0.780715510745337,0.7823068496225916,0.9519491469124336,16.524017095565796,6.662010192871094
nsl_kdd,L1Logistic,GradientBoosting,42,61,121,0.4958677685950413,0.8096167494677076,0.8550830346842362,0.8096167494677076,0.8086809029370648,0.8094534341027619,0.9447475187280038,16.524017095565796,27.363874197006226
nsl_kdd,L1Logistic,HistGradientBoosting,42,61,121,0.4958677685950413,0.7875709723207949,0.8423983984384289,0.7875709723207949,0.7855869982779347,0.7870481841618246,0.9572932108704436,16.524017095565796,7.16790246963501
nsl_kdd,L1Logistic,XGBoost,42,61,121,0.4958677685950413,0.7945351312987935,0.846091228691243,0.7945351312987935,0.792943919609998,0.7941603160087295,0.9641907216106452,16.524017095565796,1.2731375694274902
nsl_kdd,L1Logistic,LightGBM,42,61,121,0.4958677685950413,0.7864176721078779,0.8419038929180404,0.7864176721078779,0.7843545800414748,0.7858633580764504,0.9591568454895214,16.524017095565796,2.335824966430664
nsl_kdd,L1Logistic,CatBoost,42,61,121,0.4958677685950413,0.8042938254080908,0.851398585961574,0.8042938254080908,0.80318146970933,0.8040792914496432,0.966322336181106,16.524017095565796,1.3795149326324463
nsl_kdd,L1Logistic,KNN,42,61,121,0.4958677685950413,0.7781227821149752,0.8375001441607687,0.7781227821149752,0.7755338629818536,0.777350178832102,0.8242082733505919,16.524017095565796,46.55743837356568
nsl_kdd,L1Logistic,MLP,42,61,121,0.4958677685950413,0.810459545777147,0.8545759806269444,0.810459545777147,0.8096277184782531,0.810325639689526,0.9185906461243296,16.524017095565796,165.1381061077118
nsl_kdd,RFImportance,LogisticRegression,42,28,121,0.768595041322314,0.7122959545777147,0.7767469709245,0.7122959545777147,0.7071085119051211,0.7103749895218692,0.8689610094868001,8.983465671539307,1.891695737838745
nsl_kdd,RFImportance,LinearSVM,42,28,121,0.768595041322314,0.7112757274662882,0.776121923550551,0.7112757274662882,0.7059872313907033,0.7093032958108632,,8.983465671539307,0.896540641784668
nsl_kdd,RFImportance,DecisionTree,42,28,121,0.768595041322314,0.7789212207239177,0.8376403456957858,0.7789212207239177,0.7764122606947002,0.7781836250572549,0.802864367535739,8.983465671539307,0.9624426364898682
nsl_kdd,RFImportance,RandomForest,42,28,121,0.768595041322314,0.7669002838892832,0.8325541979187236,0.7669002838892832,0.7634028678674246,0.7657127753817556,0.9531436902545276,8.983465671539307,7.90795373916626
nsl_kdd,RFImportance,ExtraTrees,42,28,121,0.768595041322314,0.7768807665010646,0.8351196832581859,0.7768807665010646,0.774373938066986,0.776147808958009,0.9223121378572452,8.983465671539307,4.591289758682251
nsl_kdd,RFImportance,GradientBoosting,42,28,121,0.768595041322314,0.7863289567068843,0.8427375663063487,0.7863289567068843,0.784181921526343,0.7857389584214998,0.928661291131354,8.983465671539307,22.04611229896545
nsl_kdd,RFImportance,HistGradientBoosting,42,28,121,0.768595041322314,0.8003459900638751,0.8488911400405272,0.8003459900638751,0.7990763518667916,0.800082139852403,0.9580157320344282,8.983465671539307,3.566751480102539
nsl_kdd,RFImportance,XGBoost,42,28,121,0.768595041322314,0.7653921220723917,0.8313040426816724,0.7653921220723917,0.7618245892600325,0.7641728577483702,0.9581694297224382,8.983465671539307,0.6651558876037598
nsl_kdd,RFImportance,LightGBM,42,28,121,0.768595041322314,0.7864620298083748,0.8416700663117458,0.7864620298083748,0.7844245125102066,0.785918436654143,0.9556940696388224,8.983465671539307,2.048879146575928
nsl_kdd,RFImportance,CatBoost,42,28,121,0.768595041322314,0.7767476933995742,0.8371261627760412,0.7767476933995742,0.7740317729490016,0.775918953818507,0.955678045086094,8.983465671539307,1.036719799041748
nsl_kdd,RFImportance,KNN,42,28,121,0.768595041322314,0.7625532292405962,0.8316427701471492,0.7625532292405962,0.7585614091890982,0.7611220137094962,0.8080581521630061,8.983465671539307,38.85526728630066
nsl_kdd,RFImportance,MLP,42,28,121,0.768595041322314,0.7746185237757275,0.8336956954566608,0.7746185237757275,0.7719809567936372,0.7738301560117117,0.913782762737688,8.983465671539307,172.20109629631042
nsl_kdd,PCA,LogisticRegression,42,24,121,0.8016528925619835,0.7601579134137686,0.807360250488798,0.7601579134137686,0.7584492820228529,0.7597759040577793,0.8727232687410654,0.1157269477844238,1.62162446975708
nsl_kdd,PCA,LinearSVM,42,24,121,0.8016528925619835,0.76375088715401,0.8092711593326161,0.76375088715401,0.7622684790661564,0.7634455080718223,,0.1157269477844238,3.02046537399292
nsl_kdd,PCA,DecisionTree,42,24,121,0.8016528925619835,0.7764371894960965,0.8202274380673877,0.7764371894960965,0.7752830569355633,0.7762287792069504,0.7575305588100163,0.1157269477844238,9.886343717575071
nsl_kdd,PCA,RandomForest,42,24,121,0.8016528925619835,0.728708303761533,0.7974788122361719,0.728708303761533,0.723555920096169,0.7267551527539386,0.9206625638194664,0.1157269477844238,62.17839980125427
nsl_kdd,PCA,ExtraTrees,42,24,121,0.8016528925619835,0.7248935415188077,0.7962766540902578,0.7248935415188077,0.719225629069542,0.7226669403621533,0.9179896491660496,0.1157269477844238,6.748025178909302
nsl_kdd,PCA,GradientBoosting,42,24,121,0.8016528925619835,0.7710255500354861,0.8169706666912891,0.7710255500354861,0.7696016347764165,0.7707339484388759,0.9154150243205288,0.1157269477844238,200.4108533859253
nsl_kdd,PCA,HistGradientBoosting,42,24,121,0.8016528925619835,0.7508427963094393,0.807788912338118,0.7508427963094393,0.7478753288611366,0.7499474454734383,0.941512765762934,0.1157269477844238,3.543509006500244
nsl_kdd,PCA,XGBoost,42,24,121,0.8016528925619835,0.7439229950319376,0.8045434129749586,0.7439229950319376,0.7403358990228069,0.742745822358401,0.941949898228844,0.1157269477844238,0.788762092590332
nsl_kdd,PCA,LightGBM,42,24,121,0.8016528925619835,0.748403122782115,0.8060554911138612,0.748403122782115,0.7452924186801158,0.7474457708323201,0.9412630531597164,0.1157269477844238,2.2670223712921143
nsl_kdd,PCA,CatBoost,42,24,121,0.8016528925619835,0.7613999290276792,0.814373918731546,0.7613999290276792,0.759105409768318,0.7607850086259325,0.9295496788537602,0.1157269477844238,1.3145217895507812
nsl_kdd,PCA,KNN,42,24,121,0.8016528925619835,0.7613555713271823,0.829325753217545,0.7613555713271823,0.757447058375033,0.7599713400127265,0.8065920259530672,0.1157269477844238,35.357693672180176
nsl_kdd,PCA,MLP,42,24,121,0.8016528925619835,0.7621540099361249,0.8323890231836573,0.7621540099361249,0.7580258717555147,0.7606517982836046,0.931231787467922,0.1157269477844238,190.05703139305115
nsl_kdd,GA,LogisticRegression,42,10,121,0.9173553719008264,0.7492902767920511,0.7961921624609639,0.7492902767920511,0.7474380504097073,0.7488665708557738,0.8634761589601287,,
nsl_kdd,GA,LinearSVM,42,10,121,0.9173553719008264,0.744277856635912,0.7904823181150371,0.744277856635912,0.7424211914790513,0.7438577487577921,,,
nsl_kdd,GA,DecisionTree,42,10,121,0.9173553719008264,0.7787881476224272,0.8322356385420296,0.7787881476224272,0.7767735423659325,0.7782650286383481,0.8015444964636571,,
nsl_kdd,GA,RandomForest,42,10,121,0.9173553719008264,0.7594481902058198,0.8231039568898925,0.7594481902058198,0.7559535758502253,0.7582803376369955,0.9202762332781044,,
nsl_kdd,GA,ExtraTrees,42,10,121,0.9173553719008264,0.7583836053938964,0.8260923145683072,0.7583836053938964,0.7544106206085393,0.7569738895690445,0.8862878199204256,,
nsl_kdd,GA,GradientBoosting,42,10,121,0.9173553719008264,0.7802519517388219,0.8369615628769983,0.7802519517388219,0.7779596612740332,0.779608631511607,0.9207427547897664,,
nsl_kdd,GA,HistGradientBoosting,42,10,121,0.9173553719008264,0.795111781405252,0.8436800316919609,0.795111781405252,0.7937740619045425,0.7948289647287948,0.9447152569782576,,
nsl_kdd,GA,XGBoost,42,10,121,0.9173553719008264,0.7695617459190915,0.8291939868963036,0.7695617459190915,0.7667530369975308,0.7687038243730843,0.954876668999896,,
nsl_kdd,GA,LightGBM,42,10,121,0.9173553719008264,0.7669002838892832,0.8282024390847712,0.7669002838892832,0.7638554585852797,0.7659359892482472,0.9450832559769516,,
nsl_kdd,GA,CatBoost,42,10,121,0.9173553719008264,0.7773687012065295,0.8354753509156148,0.7773687012065295,0.7748849634645814,0.7766452879209632,0.9593818873429328,,
nsl_kdd,GA,KNN,42,10,121,0.9173553719008264,0.7396202980837473,0.8116668769753296,0.7396202980837473,0.734470956909328,0.7376330818398034,0.7928714420106623,,
nsl_kdd,GA,MLP,42,10,121,0.9173553719008264,0.7420599716110717,0.8091953132952966,0.7420599716110717,0.7376140846134004,0.740447327970561,0.8950320099066883,,
